states,illiterate,below class 10th,class 10th and above but below Graduation,graduate,holding technical degree/diploma,post graduate,total,illiterate ratio,illiterate normalized,post graduation normalized
Andaman & Nicobar Islands,14.0,57.0,11.0,2.0,0.0,1.0,85.0,0.16470588235294117,0.16470588235294117,0.011764705882352941
Andhra Pradesh,464.0,862.0,451.0,148.0,18.0,45.0,1988.0,0.23340040241448692,0.23340040241448692,0.022635814889336015
Arunachal Pradesh,63.0,50.0,33.0,5.0,0.0,0.0,151.0,0.41721854304635764,0.41721854304635764,0.0
Assam,1012.0,1326.0,404.0,54.0,0.0,6.0,2802.0,0.36117059243397576,0.36117059243397576,0.0021413276231263384
Bihar,1673.0,3059.0,2030.0,476.0,32.0,105.0,7375.0,0.22684745762711864,0.22684745762711864,0.01423728813559322
Chandigarh,78.0,133.0,106.0,31.0,9.0,6.0,363.0,0.21487603305785125,0.21487603305785125,0.01652892561983471
Chhattisgarh,1405.0,4377.0,1371.0,341.0,37.0,100.0,7631.0,0.18411741580395755,0.18411741580395755,0.013104442405975626
Dadra and Nagar Haveli and Daman and Diu,7.0,2.0,1.0,0.0,0.0,0.0,10.0,0.7,0.7,0.0
Delhi,428.0,605.0,429.0,136.0,16.0,23.0,1637.0,0.26145387904703726,0.26145387904703726,0.014050091631032376
Goa,32.0,22.0,38.0,11.0,3.0,3.0,109.0,0.29357798165137616,0.29357798165137616,0.027522935779816515
Gujarat,984.0,2981.0,858.0,196.0,42.0,87.0,5148.0,0.19114219114219114,0.19114219114219114,0.0168997668997669
Haryana,1108.0,2624.0,1816.0,312.0,32.0,65.0,5957.0,0.18599966426053383,0.18599966426053383,0.010911532650663086
Himachal Pradesh,112.0,484.0,299.0,36.0,11.0,13.0,955.0,0.11727748691099477,0.11727748691099477,0.013612565445026177
Jammu & Kashmir,50.0,69.0,46.0,11.0,1.0,3.0,180.0,0.2777777777777778,0.2777777777777778,0.016666666666666666
Jharkhand,1184.0,1792.0,1465.0,281.0,45.0,41.0,4808.0,0.24625623960066556,0.24625623960066556,0.008527454242928452
Karnataka,958.0,1277.0,947.0,247.0,88.0,39.0,3556.0,0.26940382452193473,0.26940382452193473,0.010967379077615299
Kerala,193.0,1339.0,1070.0,305.0,98.0,29.0,3034.0,0.06361239288068557,0.06361239288068557,0.00955833882663151
Ladakh,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.25,0.25,0.0
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Madhya Pradesh,4857.0,9312.0,4890.0,1824.0,344.0,534.0,21761.0,0.22319746335186802,0.22319746335186802,0.024539313450668628
Maharashtra,1380.0,3387.0,2269.0,691.0,80.0,191.0,7998.0,0.17254313578394598,0.17254313578394598,0.02388097024256064
Manipur,43.0,74.0,40.0,20.0,0.0,0.0,177.0,0.24293785310734464,0.24293785310734464,0.0
Meghalaya,143.0,131.0,27.0,5.0,1.0,1.0,308.0,0.4642857142857143,0.4642857142857143,0.003246753246753247
Mizoram,22.0,324.0,168.0,13.0,0.0,3.0,530.0,0.04150943396226415,0.04150943396226415,0.005660377358490566
Nagaland,21.0,101.0,18.0,1.0,0.0,0.0,141.0,0.14893617021276595,0.14893617021276595,0.0
Odisha,950.0,1500.0,328.0,72.0,15.0,13.0,2878.0,0.330090340514246,0.330090340514246,0.004517025712300208
Puducherry,12.0,56.0,25.0,7.0,5.0,2.0,107.0,0.11214953271028037,0.11214953271028037,0.018691588785046728
Punjab,1875.0,2271.0,1687.0,456.0,106.0,148.0,6543.0,0.28656579550664835,0.28656579550664835,0.02261959345865811
Rajasthan,826.0,2315.0,1252.0,550.0,190.0,244.0,5377.0,0.1536172586944393,0.1536172586944393,0.045378463827413056
Sikkim,28.0,82.0,5.0,4.0,0.0,0.0,119.0,0.23529411764705882,0.23529411764705882,0.0
Tamil Nadu,1566.0,1938.0,791.0,363.0,267.0,176.0,5101.0,0.3069986277200549,0.3069986277200549,0.034503038619878454
Telangana,306.0,866.0,778.0,103.0,18.0,31.0,2102.0,0.1455756422454805,0.1455756422454805,0.014747859181731684
Tripura,22.0,357.0,53.0,19.0,1.0,1.0,453.0,0.04856512141280353,0.04856512141280353,0.002207505518763797
Uttar Pradesh,7718.0,10329.0,6213.0,2060.0,284.0,605.0,27209.0,0.28365614318791577,0.28365614318791577,0.02223528979381822
Uttarakhand,513.0,848.0,553.0,138.0,21.0,63.0,2136.0,0.2401685393258427,0.2401685393258427,0.02949438202247191
West Bengal,1577.0,1990.0,849.0,173.0,61.0,32.0,4682.0,0.33682187099530114,0.33682187099530114,0.006834686031610423
