states,belongs to state,belongs to other state,belongs to other country,total,ratio of same state prisioners,ratio of foreigner prisoners,same state prisioners normalized,foreigner prisoners normalized
Andaman & Nicobar Islands,64.0,0.0,21.0,85.0,0.7529411764705882,0.24705882352941178,0.7529411764705882,0.24705882352941178
Andhra Pradesh,1771.0,212.0,5.0,1988.0,0.8908450704225352,0.0025150905432595573,0.8908450704225352,0.0025150905432595573
Arunachal Pradesh,109.0,42.0,0.0,151.0,0.7218543046357616,0.0,0.7218543046357616,0.0
Assam,2721.0,48.0,33.0,2802.0,0.9710920770877944,0.011777301927194861,0.9710920770877944,0.011777301927194861
Bihar,7188.0,183.0,4.0,7375.0,0.9746440677966102,0.0005423728813559322,0.9746440677966102,0.0005423728813559322
Chandigarh,203.0,156.0,4.0,363.0,0.559228650137741,0.011019283746556474,0.559228650137741,0.011019283746556474
Chhattisgarh,7234.0,390.0,7.0,7631.0,0.9479753636482767,0.0009173109684182938,0.9479753636482767,0.0009173109684182938
Dadra and Nagar Haveli and Daman and Diu,4.0,6.0,0.0,10.0,0.4,0.0,0.4,0.0
Delhi,1133.0,447.0,57.0,1637.0,0.6921197312156384,0.03481979230299328,0.6921197312156384,0.03481979230299328
Goa,65.0,34.0,10.0,109.0,0.5963302752293578,0.09174311926605505,0.5963302752293578,0.09174311926605505
Gujarat,4891.0,234.0,23.0,5148.0,0.9500777000777001,0.004467754467754468,0.9500777000777001,0.004467754467754468
Haryana,4867.0,1082.0,8.0,5957.0,0.8170219909350344,0.001342957864696995,0.8170219909350344,0.001342957864696995
Himachal Pradesh,723.0,169.0,63.0,955.0,0.7570680628272252,0.06596858638743455,0.7570680628272252,0.06596858638743455
Jammu & Kashmir,163.0,9.0,8.0,180.0,0.9055555555555556,0.044444444444444446,0.9055555555555556,0.044444444444444446
Jharkhand,4648.0,159.0,1.0,4808.0,0.9667221297836939,0.00020798668885191348,0.9667221297836939,0.00020798668885191348
Karnataka,3402.0,136.0,18.0,3556.0,0.9566929133858267,0.005061867266591676,0.9566929133858267,0.005061867266591676
Kerala,2848.0,173.0,13.0,3034.0,0.938694792353329,0.0042847725774555045,0.938694792353329,0.0042847725774555045
Ladakh,1.0,2.0,1.0,4.0,0.25,0.25,0.25,0.25
Lakshadweep,0.0,0.0,0.0,0.0,,,,
Madhya Pradesh,20679.0,1072.0,10.0,21761.0,0.9502780203115666,0.0004595377050687009,0.9502780203115666,0.0004595377050687009
Maharashtra,7460.0,489.0,49.0,7998.0,0.932733183295824,0.006126531632908227,0.932733183295824,0.006126531632908227
Manipur,105.0,1.0,71.0,177.0,0.5932203389830508,0.4011299435028249,0.5932203389830508,0.4011299435028249
Meghalaya,270.0,23.0,15.0,308.0,0.8766233766233766,0.048701298701298704,0.8766233766233766,0.048701298701298704
Mizoram,511.0,13.0,6.0,530.0,0.9641509433962264,0.011320754716981131,0.9641509433962264,0.011320754716981131
Nagaland,100.0,41.0,0.0,141.0,0.7092198581560284,0.0,0.7092198581560284,0.0
Odisha,2825.0,53.0,0.0,2878.0,0.9815844336344683,0.0,0.9815844336344683,0.0
Puducherry,83.0,23.0,1.0,107.0,0.7757009345794392,0.009345794392523364,0.7757009345794392,0.009345794392523364
Punjab,5891.0,601.0,51.0,6543.0,0.9003515207091548,0.007794589637780834,0.9003515207091548,0.007794589637780834
Rajasthan,4849.0,517.0,11.0,5377.0,0.9018039799144504,0.0020457504184489494,0.9018039799144504,0.0020457504184489494
Sikkim,85.0,34.0,0.0,119.0,0.7142857142857143,0.0,0.7142857142857143,0.0
Tamil Nadu,4962.0,82.0,57.0,5101.0,0.9727504410899823,0.011174279553028818,0.9727504410899823,0.011174279553028818
Telangana,1866.0,230.0,6.0,2102.0,0.8877259752616555,0.0028544243577545195,0.8877259752616555,0.0028544243577545195
Tripura,443.0,3.0,7.0,453.0,0.977924944812362,0.01545253863134658,0.977924944812362,0.01545253863134658
Uttar Pradesh,26513.0,600.0,96.0,27209.0,0.9744202286008307,0.0035282443309199163,0.9744202286008307,0.0035282443309199163
Uttarakhand,1542.0,540.0,54.0,2136.0,0.7219101123595506,0.025280898876404494,0.7219101123595506,0.025280898876404494
West Bengal,4019.0,192.0,471.0,4682.0,0.8583938487825715,0.10059803502776592,0.8583938487825715,0.10059803502776592
